"COUNTY","CITY","ADDRESS","DATE"
"ADAIR"," ACHILLE"," 1521 N LEWIS PLACE                  ","1/20/2015"
"ADAIR"," BUNCH"," 26676 EAST 888 ROAD                ","7/10/2006"
"ADAIR"," STILWELL"," 120 NORTH 7TH STREET                ","7/2/2007"
"ADAIR"," STILWELL"," 120 SOUTH SEVENTH                  ","8/22/2007"
"ADAIR"," STILWELL"," 6 RURAL ROUTE 1605                  ","9/6/2007"
"ADAIR"," WATTS"," 1 CHEROKEE RURAL ROUTE             ","11/6/2007"
"ADAIR"," WATTS"," 315 3RD STREET                     ","10/18/2012"
"ADAIR"," WESTVILLE"," 101 10 CHERRY E                    ","3/26/2001"
"ADAIR"," WESTVILLE"," 506 SOUTH 2ND STREET               ","6/21/2007"
"ADAIR"," WESTVILLE"," 103 CHERRY 104                     ","8/31/2011"
"ADAIR"," WESTVILLE"," 317 MAPLE STREET                   ","8/31/2011"
"ADAIR"," WESTVILLE"," 415 2ND STREET                     ","8/22/2012"
"ALFALFA"," ALINE"," 419 WALNUT                         ","8/15/2011"
"ATOKA"," ATOKA"," 105 VOCA SW RD                      ","5/3/2002"
"ATOKA"," ATOKA"," 1302 11TH E                        ","1/10/2003"
"BEAVER"," BEAVER"," 910 G AVE 5                         ","3/7/2002"
"BEAVER"," ELMWOOD"," 14 OF ELMWOOD HY 412 E              ","5/7/2002"
"BECKHAM"," CARTER"," 301 3RD S                           ","4/2/2002"
"BECKHAM"," ELK"," ELK CITY             230 SHELL                           ","2/2/2002"
"BECKHAM"," ELK"," ELK CITY             1200 VAN BUREN S 77                ","3/11/2002"
"BECKHAM"," ELK"," ELK CITY             508 D W AVE                        ","4/26/2002"
"BECKHAM"," ELK"," ELK CITY              820 OLIVER N                       ","7/9/2003"
"BECKHAM"," ELK"," ELK CITY              309 ADAMS S                       ","10/29/2003"
"BECKHAM"," ELK"," ELK CITY              1202 BOONE S                      ","11/18/2003"
"BECKHAM"," ELK"," ELK CITY              303 HOOVER CIR                    ","12/4/2003"
"BECKHAM"," ELK"," ELK CITY              1907 AVE B W                      ","1/24/2004"
"BECKHAM"," ELK"," ELK CITY              310 WALKER S                      ","2/19/2004"
"BECKHAM"," ELK"," ELK CITY             622 WEST EAST AVENUE               ","2/21/2009"
"BECKHAM"," ERICK"," 112 PINE S ST                      ","4/4/2002"
"BECKHAM"," ERICK"," 102 PINE S                        ","6/23/2004"
"BECKHAM"," SAYRE"," 611 SISSON E                      ","11/11/2003"
"BRYAN"," BENNINGTON"," 3450 PIPELINE RD                   ","2/1/2004"
"BRYAN"," BLUE"," 64 DAISY MAE                      ","9/14/2004"
"BRYAN"," CADDO"," 602 RUSSELL ST                    ","5/15/2004"
"BRYAN"," CADDO"," 407 CHOCTAW S                      ","6/9/2004"
"BRYAN"," CALERA"," 618 MCKINLEY S ST 311             ","3/27/2001"
"BRYAN"," CALERA"," 513 RYAN E ST                     ","4/23/2001"
"BRYAN"," CALERA"," SMISER W ST                     ","5/1/2003"
"BRYAN"," CARTWRIGHT"," RT1 WILUFA WOODS RD 52            ","11/21/2003"
"BRYAN"," CARTWRIGHT"," 593 4TH AVE                       ","1/12/2004"
"BRYAN"," CARTWRIGHT"," 2569 SAND CREEK RD                ","9/27/2005"
"BRYAN"," CARTWRIGHT"," 34 DERRYBERRY LANE                 ","7/27/2007"
"BRYAN"," COLBERT"," 220 COLLINS STREET                 ","7/15/2006"
"BRYAN"," DURANT"," 223 13TH N                        ","3/28/2001"
"BRYAN"," DURANT"," 1901 MISSISSIPPI G75              ","1/10/2002"
"BRYAN"," DURANT"," 1901 MISSISSIPPI H90              ","1/29/2002"
"BRYAN"," DURANT"," 1312 6TH N ST 11                   ","3/3/2002"
"BRYAN"," DURANT"," 401 13 S AVE                       ","9/8/2002"
"BRYAN"," DURANT"," 4805 9 S                          ","12/3/2002"
"BRYAN"," DURANT"," 312 LOUISIANA AVE                 ","12/18/2002"
"BRYAN"," DURANT"," 505 GEORGIA E                     ","2/28/2003"
"BRYAN"," DURANT"," 1016 LOUISIANA                    ","10/5/2003"
"BRYAN"," DURANT"," 1614 SOUTH LONE OAK ROAD           ","11/1/2007"
"BRYAN"," KENEFIC"," 134 KENEFIC ST                    ","1/28/2004"
"BRYAN"," MEAD"," 284 CROWDER ROAD                   ","7/12/2007"
"BRYAN"," WILLIFA"," WILLIFA WOODS         54 FELTON LN                      ","2/17/2006"
"CADDO"," ANADARKO"," 629 TOTTINGHAM W DR               ","3/28/2001"
"CADDO"," ANADARKO"," 316 OKLAHOMA E ST                 ","5/27/2003"
"CADDO"," CARNEGIE"," 6 MAIN E ST                       ","4/18/2001"
"CADDO"," CARNEGIE"," 324 BROADWAY S                    ","5/19/2003"
"CADDO"," CARNEGIE"," 404 SOUTH CAROL                     ","3/9/2010"
"CADDO"," FORT"," FORT COBB            402 6TH STREET                     ","2/25/2007"
"CADDO"," HYDRO"," 433 HUNT ST                       ","9/11/2000"
"CANADIAN"," CALUMET"," 13508 ELM W                       ","10/14/2001"
"CANADIAN"," CALUMET"," 19915 WEST HWY 270                 ","2/25/2006"
"CANADIAN"," EL"," EL RENO               201 HOFF N ST                     ","9/28/2000"
"CANADIAN"," EL"," EL RENO               412 EVANS S ST                     ","7/9/2002"
"CANADIAN"," EL"," EL RENO               520 CHOCTAW S B                   ","2/10/2003"
"CANADIAN"," EL"," EL RENO               500 HADDEN S                      ","3/29/2003"
"CANADIAN"," EL"," EL RENO               139 EL RENO N ST                  ","5/12/2003"
"CANADIAN"," EL"," EL RENO               2400 SUNSET S LOT 7               ","10/27/2003"
"CANADIAN"," EL"," EL RENO               1725 DILLIE S                     ","2/17/2004"
"CANADIAN"," EL"," EL RENO              520 SOUTH CHOCTAW AVENUE           ","4/18/2006"
"CANADIAN"," EL"," EL RENO              701 NORTH CHOCTAW AVENUE           ","10/13/2009"
"CANADIAN"," MUSTANG"," 11730 MUSTANG S RD                ","12/11/2000"
"CANADIAN"," MUSTANG"," 616 HIGHLAND S                    ","9/17/2001"
"CANADIAN"," MUSTANG"," 317 CAROL N TER                   ","11/5/2002"
"CANADIAN"," MUSTANG"," 319 HILLCREST E LN                ","3/31/2003"
"CANADIAN"," MUSTANG"," 219 HILLCREST E LN                ","7/23/2003"
"CANADIAN"," MUSTANG"," 2347 HIGHWAY 152 E                ","8/31/2004"
"CANADIAN"," MUSTANG"," 5800 ALOHA CT                      ","9/2/2004"
"CANADIAN"," OKLAHOMA"," OKLAHOMA CITY         5306 MUSTANG S RD                  ","3/3/2003"
"CANADIAN"," OKLAHOMA"," OKLAHOMA CITY         10500 23RD NW                      ","6/5/2003"
"CANADIAN"," OKLAHOMA"," OKLAHOMA CITY         9717 10 NW ST 339                 ","9/16/2003"
"CANADIAN"," UNION"," UNION CITY            112 GRAND ST                      ","10/31/2003"
"CANADIAN"," YUKON"," 12026 16TH SW                     ","8/18/2000"
"CANADIAN"," YUKON"," 1008 ELM ST                       ","12/6/2000"
"CANADIAN"," YUKON"," 105 CEDAR                         ","7/29/2001"
"CANADIAN"," YUKON"," 220 7TH S ST                      ","3/27/2002"
"CANADIAN"," YUKON"," 12025 ASHFORD DR                  ","1/21/2003"
"CANADIAN"," YUKON"," 911 2ND S ST                      ","1/23/2003"
"CANADIAN"," YUKON"," 106 CORNWELL S 1                  ","1/27/2003"
"CANADIAN"," YUKON"," 10309 BIRKENHEAD RD                ","9/9/2004"
"CARTER"," ARDMORE"," 1426 RUTLEDGE SE ST               ","11/3/2003"
"CARTER"," LONE"," LONE GROVE             SUE MILLER RD 291                ","4/25/2001"
"CARTER"," LONE"," LONE GROVE           11700 PRAIRIE VALLEY ROAD          ","7/26/2006"
"CARTER"," WILSON"," 301 ASH W                         ","9/30/2002"
"CHEROKEE"," COOKSON"," 21115 WEST 888 RD                 ","4/26/2005"
"CHEROKEE"," HULBERT"," 107 NORTH ELM                     ","4/16/2002"
"CHEROKEE"," HULBERT"," 5037 770TH W RD                   ","2/25/2003"
"CHEROKEE"," HULBERT"," 10336 NORTH 427 ROAD               ","12/28/2011"
"CHEROKEE"," HULBERT"," 7723 WEST J B TEAGUE DRIVE         ","7/11/2012"
"CHEROKEE"," MOODYS"," 11019 530 N RD                    ","5/31/2005"
"CHEROKEE"," PARK"," PARK HILL             35144 488 N RD                    ","9/30/2002"
"CHEROKEE"," TAHLEQUAH"," 313 BAILEY BLVD                   ","7/25/2001"
"CHEROKEE"," TAHLEQUAH"," 15759 N BRYANT W RD               ","5/28/2002"
"CHEROKEE"," TAHLEQUAH"," 310 1/2 B COLLEGE ST              ","8/19/2002"
"CHEROKEE"," TAHLEQUAH"," 20455 WHIPPERWILL HOLLOW RD        ","5/6/2003"
"CHEROKEE"," TAHLEQUAH"," 408 EAST NORMAL STREET               ","2/8/2012"
"CHEROKEE"," TAHLEQUAH"," 22013 SOUTH 497 ROAD                ","10/10/2012"
"CHEROKEE"," WELLING"," 24283 SOUTH WELLING ROAD             ","6/11/2007"
"CHOCTAW"," HUGO"," 112 CLAYTON W ST                    ","2/19/2002"
"CHOCTAW"," HUGO"," 707 E. LOWERY ST                   ","10/11/2005"
"CHOCTAW"," SOPER"," 701 MAIN N ST                       ","4/26/2005"
"CLEVELAND"," MOORE"," 2128 NAIL PARKWAY                   ","2/24/2000"
"CLEVELAND"," MOORE"," 2712 YORKSHIRE AVE                  ","3/25/2001"
"CLEVELAND"," MOORE"," 3804 COUNTRY CLUB S                 ","9/27/2002"
"CLEVELAND"," MOORE"," 824 NORTHWEST 16TH STREET            ","8/27/2011"
"CLEVELAND"," NOBLE"," 901 MAGUIRE RD 38                   ","5/15/2001"
"CLEVELAND"," NORMAN"," 906 QUANNAH PARKER TRAIL            ","2/3/2000"
"CLEVELAND"," NORMAN"," 112 HAYES W                         ","3/1/2000"
"CLEVELAND"," NORMAN"," 313 INDIAN HILLS W RD               ","8/7/2000"
"CLEVELAND"," NORMAN"," 213 MERCEDES S                      ","7/27/2001"
"CLEVELAND"," NORMAN"," 9351 142ND NE AVE                   ","8/2/2001"
"CLEVELAND"," NORMAN"," 101 MONTICELLO RD                  ","10/25/2001"
"CLEVELAND"," NORMAN"," 1325 CROWN POINT ST 6               ","4/21/2003"
"CLEVELAND"," NORMAN"," 1406 DORCHESTER DRIVE                ","8/26/2009"
"CLEVELAND"," NORMAN"," 3490 SOUTH CLASSEN BOULEVARD         ","12/4/2009"
"CLEVELAND"," OKLAHOMA"," OKLAHOMA CITY         10300 KEAR DR                       ","4/1/2002"
"CLEVELAND"," OKLAHOMA"," OKLAHOMA CITY         15500 HARRAH S                     ","12/11/2002"
"CLEVELAND"," OKLAHOMA"," OKLAHOMA CITY         12700 141 SE ST                     ","2/15/2003"
"CLEVELAND"," OKLAHOMA"," OKLAHOMA CITY         10305 CASA LINDA DR                 ","2/18/2003"
"CLEVELAND"," OKLAHOMA"," OKLAHOMA CITY         14900 147TH SE                      ","6/24/2003"
"CLEVELAND"," OKLAHOMA"," OKLAHOMA CITY        1308 EAST HILLS DRIVE                ","7/20/2006"
"COAL"," COALGATE"," 205 ODEN                           ","12/30/2003"
"COMANCHE"," APACHE"," 4703 NORTHEAST KING ROAD             ","2/17/2010"
"COMANCHE"," ELGIN"," 207 NORTHEAST LITTLE BEAR LOOP       ","5/18/2009"
"COMANCHE"," LAWTON"," 1419 BISHOP SW ST                   ","1/23/2000"
"COMANCHE"," LAWTON"," 911 11TH SW                         ","9/9/2000"
"COMANCHE"," LAWTON"," 2402 CORNELL S                      ","11/2/2000"
"COMANCHE"," LAWTON"," 613 EUCLID ST                       ","1/11/2001"
"COMANCHE"," LAWTON"," 2406 12TH NW ST                     ","4/25/2001"
"COMANCHE"," LAWTON"," 1602 COLUMBIA NW ST 1               ","5/6/2001"
"COMANCHE"," LAWTON"," 509 WASHINGTON SW AVE               ","5/7/2002"
"COMANCHE"," LAWTON"," 4208 BEDFORD SE DR                  ","3/24/2003"
"COMANCHE"," LAWTON"," 2422 D SW AVE                       ","9/25/2003"
"COMANCHE"," LAWTON"," 1210 G SW AVE                       ","1/23/2004"
"COMANCHE"," LAWTON"," 4823 WINFIELD NE CIR                ","7/12/2004"
"COMANCHE"," LAWTON"," 824 NORTHWEST 20TH STREET            ","8/12/2010"
"COMANCHE"," LAWTON"," 1525 NORTHWEST 43RD STREET           ","3/18/2011"
"COMANCHE"," LAWTON"," 804 NORTHWEST ARLINGTON AVE          ","3/15/2013"
"COMANCHE"," LAWTON"," 26064 NORTHWEST STATE HIGHWAY 58/OK- ","3/21/2014"
"58"," 58"," 58/WICHITA MOUNTAINS "," "
"CRAIG"," VINITA"," 134 SAINTS CIRCLE                    ","7/13/2006"
"CRAIG"," VINITA"," 646 NORTH THOMPSON STREET            ","5/21/2009"
"CRAIG"," VINITA"," 443454 EAST 320 ROAD                 ","7/22/2010"
"CRAIG"," VINITA"," 401 EAST ATTUCKS                     ","10/4/2011"
"CRAIG"," VINITA"," 311 SOUTH BROWN STREET               ","2/25/2012"
"CRAIG"," WELCH"," 156 FIRST W AVE                     ","8/18/2003"
"CRAIG"," WELCH"," 440 WASHINGTON S ST                 ","5/10/2004"
"CREEK"," BRISTOW"," 33684 193 WEST S AVE                ","12/5/2000"
"CREEK"," BRISTOW"," 45470 151ST SOUTH W                 ","6/28/2001"
"CREEK"," BRISTOW"," 402 3RD W                         ","5/31/2002"
"CREEK"," BRISTOW"," 45470 151ST W ST                  ","8/29/2002"
"CREEK"," BRISTOW"," 207 WASHINGTON E                   ","9/3/2002"
"CREEK"," BRISTOW"," 6TH ST 519                       ","7/28/2003"
"CREEK"," BRISTOW"," 20456 401 W S AVE                 ","8/15/2003"
"CREEK"," BRISTOW"," 20601 401 W S ST                  ","8/20/2003"
"CREEK"," BRISTOW"," 351 SOUTH W                      ","8/28/2003"
"CREEK"," BRISTOW"," 49189 WEST 142ND STREET            ","3/15/2006"
"CREEK"," BRISTOW"," WEST 9TH STREET             ","9/20/2010"
"CREEK"," BRISTOW"," 20270 SOUTH 401ST WEST AVENUE      ","11/6/2010"
"CREEK"," DEPEW"," 28587 465 WEST S AVE              ","8/15/2002"
"CREEK"," DEPEW"," 949 SPRUDY S                      ","4/27/2004"
"CREEK"," DRUMRIGHT"," 205 BRISTOWN ST                    ","5/9/2001"
"CREEK"," DRUMRIGHT"," 400 VIRGINIA S AVE                ","8/29/2002"
"CREEK"," DRUMRIGHT"," 316 OHIO N ST                     ","8/15/2003"
"CREEK"," DRUMRIGHT"," 112 WOOD E                        ","8/26/2003"
"CREEK"," DRUMRIGHT"," 118 EAST 4TH STREET                 ","2/6/2009"
"CREEK"," DRUMRIGHT"," 105 EAST 3RD STREET                ","3/13/2010"
"CREEK"," JENNINGS"," 47519 WEST 51ST STREET             ","2/24/2010"
"CREEK"," KELLYVILLE"," 17 1/2 BUFFALO W ST               ","10/6/2000"
"CREEK"," KELLYVILLE"," 8235 127TH WEST S AVE             ","9/19/2001"
"CREEK"," KELLYVILLE"," 16118 MAPLE DR B                  ","10/13/2003"
"CREEK"," KELLYVILLE"," 18318 167TH W ST                  ","3/30/2004"
"CREEK"," KELLYVILLE"," 26275 WEST 171ST STREET             ","8/2/2009"
"CREEK"," KELLYVILLE"," 441 EAST ALLEN STREET               ","8/9/2010"
"CREEK"," KELLYVILLE"," 20843 INDIAN ROAD                  ","9/10/2010"
"CREEK"," KELLYVILLE"," 14756 SOUTH 246TH WEST AVENUE      ","10/28/2010"
"CREEK"," KELLYVILLE"," 18425 SOUTH 177TH W AVENUE         ","11/17/2010"
"CREEK"," KIEFER"," 207 BROADWAY W ST                 ","7/26/2001"
"CREEK"," KIEFER"," 112 STARK STREET                   ","3/27/2006"
"CREEK"," MANNFORD"," 125 GARDENIA CIR 1040             ","1/28/2001"
"CREEK"," MANNFORD"," 369TH W AVE                       ","2/8/2001"
"CREEK"," MANNFORD"," 132 LAKE COUNTY                   ","3/15/2002"
"CREEK"," MANNFORD"," 39484 HIGHWAY 33 W                 ","8/7/2002"
"CREEK"," MANNFORD"," 36927 53 W                         ","1/2/2003"
"CREEK"," MANNFORD"," 5822 SOUTH US HIGHWAY 48           ","4/22/2009"
"CREEK"," MANNFORD"," 8226 SOUTH HWY 48                  ","8/11/2010"
"CREEK"," MANNFORD"," 3547 SOUTH 369TH W AVENUE           ","2/8/2012"
"CREEK"," MOUNDS"," 13145 EDWARDS RD                  ","2/18/2000"
"CREEK"," MOUNDS"," 8430 183RD ST                      ","2/1/2001"
"CREEK"," MOUNDS"," 358 220 N RD                      ","3/26/2003"
"CREEK"," MOUNDS"," 18391 SOUTH 89TH WEST AVENUE       ","7/15/2010"
"CREEK"," MOUNDS"," 117 EAST 5TH STREET                ","8/24/2010"
"CREEK"," MOUNDS"," 17639 SOUTH 49TH WEST AVENUE       ","11/3/2010"
"CREEK"," OAKHURST"," 6300 W 61 STREET                   ","3/28/2010"
"CREEK"," SAND"," SAND SPRINGS          190 WEKIWA W RD                    ","1/9/2000"
"CREEK"," SAND"," SAND SPRINGS          11506 56 W ST                     ","1/17/2000"
"CREEK"," SAND"," SAND SPRINGS          1004 FORREST E DR                 ","1/19/2000"
"CREEK"," SAND"," SAND SPRINGS         6408 MERRIMACK DRIVE               ","10/12/2006"
"CREEK"," SAND"," SAND SPRINGS         27625 ROUND MOUNTAIN DRIVE         ","8/31/2009"
"CREEK"," SAPULPA"," 1015 JACKSON N E                  ","2/28/2000"
"CREEK"," SAPULPA"," 510 1ST N ST                      ","6/30/2000"
"CREEK"," SAPULPA"," 111 POPLAR N D                    ","10/4/2000"
"CREEK"," SAPULPA"," 225 LINDEN N ST                   ","11/3/2000"
"CREEK"," SAPULPA"," 122 MILL E                        ","11/17/2000"
"CREEK"," SAPULPA"," 113 1/2 BIRCH N                   ","1/21/2001"
"CREEK"," SAPULPA"," 4511 RAY W LN                     ","3/20/2001"
"CREEK"," SAPULPA"," 11379 153RD W S AVE               ","5/27/2001"
"CREEK"," SAPULPA"," 7836 65TH WEST S AVE              ","6/11/2001"
"CREEK"," SAPULPA"," 7379 58TH W S AVE                 ","7/16/2001"
"CREEK"," SAPULPA"," 713 12TH N ST                     ","7/24/2001"
"CREEK"," SAPULPA"," 2611 HICKORY BLUFF RD             ","9/17/2001"
"CREEK"," SAPULPA"," 3120 HICKORY BLUFF RD             ","9/17/2001"
"CREEK"," SAPULPA"," 5411 RAY W LN                     ","9/21/2001"
"CREEK"," SAPULPA"," 2207 CEDAR S ST                   ","1/22/2002"
"CREEK"," SAPULPA"," 1501 9TH N ST 41                   ","2/9/2002"
"CREEK"," SAPULPA"," 8718 SUNSET DR                    ","2/21/2002"
"CREEK"," SAPULPA"," 2203 MAIN S ST                    ","5/25/2002"
"CREEK"," SAPULPA"," 12033 250TH WEST S AVE            ","12/13/2002"
"CREEK"," SAPULPA"," 1301 PARK S ST C24                ","12/12/2003"
"CREEK"," SAPULPA"," 9608 71ST SOUTH W ST 9608         ","1/26/2004"
"CREEK"," SAPULPA"," 1003 PFENDLER E ST                ","2/19/2004"
"CREEK"," SAPULPA"," 222 DEWEY W AVE                   ","10/4/2005"
"CREEK"," SAPULPA"," 505 NORTH 2ND STREET               ","8/29/2006"
"CREEK"," SAPULPA"," 7925 NEW SAPULPA ROAD              ","10/16/2008"
"CREEK"," SAPULPA"," 1138 EAST JONES AVENUE              ","1/8/2009"
"CREEK"," SAPULPA"," 16136 SOUTH HICKORY 67             ","1/10/2009"
"CREEK"," SAPULPA"," 12224 SHAW DRIVE                    ","2/2/2009"
