"COUNTY","CITY","ADDRESS","DATE","long","lat","geocode.address"
"ADAIR"," ACHILLE"," 1521 N LEWIS PLACE                  ","1/20/2015",-96.3872105,33.8334343,"achille, ok, usa"
"ADAIR"," BUNCH"," 26676 EAST 888 ROAD                ","7/10/2006",-94.841514,35.7342293,"26676 e 888 rd, bunch, ok 74931, usa"
"ADAIR"," STILWELL"," 120 NORTH 7TH STREET                ","7/2/2007",-94.6342636,35.8165511,"120 n 7th st, stilwell, ok 74960, usa"
"ADAIR"," STILWELL"," 120 SOUTH SEVENTH                  ","8/22/2007",-94.6342636,35.8165511,"120 n 7th st, stilwell, ok 74960, usa"
"ADAIR"," STILWELL"," 6 RURAL ROUTE 1605                  ","9/6/2007",-94.6285553,35.81453,"stilwell, ok 74960, usa"
"ADAIR"," WATTS"," 1 CHEROKEE RURAL ROUTE             ","11/6/2007",-94.5702202,36.1092487,"watts, ok 74964, usa"
"ADAIR"," WATTS"," 315 3RD STREET                     ","10/18/2012",-94.5751589,36.1074465,"315 3rd st, watts, ok 74964, usa"
"ADAIR"," WESTVILLE"," 101 10 CHERRY E                    ","3/26/2001",-94.5688486,35.9956252,"10 w cherry st, westville, ok 74965, usa"
"ADAIR"," WESTVILLE"," 506 SOUTH 2ND STREET               ","6/21/2007",-94.5630483,35.9862673,"506 s 2nd st, westville, ok 74965, usa"
"ADAIR"," WESTVILLE"," 103 CHERRY 104                     ","8/31/2011",-94.5686345,35.9954889,"103 w cherry st, westville, ok 74965, usa"
"ADAIR"," WESTVILLE"," 317 MAPLE STREET                   ","8/31/2011",-94.575572,35.9907886,"317 maple ave, westville, ok 74965, usa"
"ADAIR"," WESTVILLE"," 415 2ND STREET                     ","8/22/2012",-94.5638627,35.9911528,"415 2nd st, westville, ok 74965, usa"
"ALFALFA"," ALINE"," 419 WALNUT                         ","8/15/2011",-98.4480108,36.5075909,"walnut ave, aline, ok 73716, usa"
"ATOKA"," ATOKA"," 105 VOCA SW RD                      ","5/3/2002",-96.218584,34.2442543,"105 w voca rd, caney, ok 74533, usa"
"ATOKA"," ATOKA"," 1302 11TH E                        ","1/10/2003",-96.1157648,34.3770876,"1302 11th st, atoka, ok 74525, usa"
"BEAVER"," BEAVER"," 910 G AVE 5                         ","3/7/2002",-100.5235324,36.808347,"910 avenue g, beaver, ok 73932, usa"
"BEAVER"," ELMWOOD"," 14 OF ELMWOOD HY 412 E              ","5/7/2002",-97.4741726,35.6337119,"412 elmwood dr, edmond, ok 73013, usa"
"BECKHAM"," CARTER"," 301 3RD S                           ","4/2/2002",-99.5019119,35.2179659,"s 3rd st, carter, ok 73627, usa"
"BECKHAM"," ELK"," ELK CITY             230 SHELL                           ","2/2/2002",-99.4021036,35.4202052,"230 shell blvd, elk city, ok 73644, usa"
"BECKHAM"," ELK"," ELK CITY             1200 VAN BUREN S 77                ","3/11/2002",-99.3996841,35.3984754,"1200 s van buren ave, elk city, ok 73644, usa"
"BECKHAM"," ELK"," ELK CITY             508 D W AVE                        ","4/26/2002",-99.4098525,35.4174496,"508 w d ave, elk city, ok 73644, usa"
"BECKHAM"," ELK"," ELK CITY              820 OLIVER N                       ","7/9/2003",-99.4108975,35.4176584,"820 n oliver ave, elk city, ok 73644, usa"
"BECKHAM"," ELK"," ELK CITY              309 ADAMS S                       ","10/29/2003",-99.4075185,35.4083637,"309 s adams ave, elk city, ok 73644, usa"
"BECKHAM"," ELK"," ELK CITY              1202 BOONE S                      ","11/18/2003",-99.4128121,35.4036412,"1202 s boone ave, elk city, ok 73644, usa"
"BECKHAM"," ELK"," ELK CITY              303 HOOVER CIR                    ","12/4/2003",-99.408159,35.4295577,"303 hoover cir, elk city, ok 73644, usa"
"BECKHAM"," ELK"," ELK CITY              1907 AVE B W                      ","1/24/2004",-99.4280363,35.4158146,"1907 w b ave, elk city, ok 73644, usa"
"BECKHAM"," ELK"," ELK CITY              310 WALKER S                      ","2/19/2004",-99.409769,35.408468,"310 s walker ave, elk city, ok 73644, usa"
"BECKHAM"," ELK"," ELK CITY             622 WEST EAST AVENUE               ","2/21/2009",-99.4111925,35.4183687,"622 w e ave, elk city, ok 73644, usa"
"BECKHAM"," ERICK"," 112 PINE S ST                      ","4/4/2002",-99.8640864,35.2142005,"112 pine ave, erick, ok 73645, usa"
"BECKHAM"," ERICK"," 102 PINE S                        ","6/23/2004",-99.8640864,35.2142005,"102 pine ave, erick, ok 73645, usa"
"BECKHAM"," SAYRE"," 611 SISSON E                      ","11/11/2003",-99.6334399,35.2996646,"611 sisson ave, sayre, ok 73662, usa"
"BRYAN"," BENNINGTON"," 3450 PIPELINE RD                   ","2/1/2004",-95.9581809,33.9826498,"3450 pipeline rd, bennington, ok 74723, usa"
"BRYAN"," BLUE"," 64 DAISY MAE                      ","9/14/2004",-96.2268589,33.99566,"daisy mae ln, bokchito, ok 74726, usa"
"BRYAN"," CADDO"," 602 RUSSELL ST                    ","5/15/2004",-96.2683731,34.1271311,"602 russell st, caddo, ok 74729, usa"
"BRYAN"," CADDO"," 407 CHOCTAW S                      ","6/9/2004",-96.2685607,34.1233729,"407 choctaw ave, caddo, ok 74729, usa"
"BRYAN"," CALERA"," 618 MCKINLEY S ST 311             ","3/27/2001",-96.4336356,33.9298404,"618 s mckinley ave, calera, ok 74730, usa"
"BRYAN"," CALERA"," 513 RYAN E ST                     ","4/23/2001",-96.423106,33.93161,"513 e ryan ave, calera, ok 74730, usa"
"BRYAN"," CALERA"," SMISER W ST                     ","5/1/2003",-96.429623,33.9372832,"w smiser rd, calera, ok 74730, usa"
"BRYAN"," CARTWRIGHT"," RT1 WILUFA WOODS RD 52            ","11/21/2003",-96.5617912,33.8528917,"cartwright, ok 74731, usa"
"BRYAN"," CARTWRIGHT"," 593 4TH AVE                       ","1/12/2004",-96.562308,33.858014,"593 4th ave, cartwright, ok 74731, usa"
"BRYAN"," CARTWRIGHT"," 2569 SAND CREEK RD                ","9/27/2005",-96.5627984,33.867011,"2569 sand creek rd, cartwright, ok 74731, usa"
"BRYAN"," CARTWRIGHT"," 34 DERRYBERRY LANE                 ","7/27/2007",-96.5634929,33.842684,"34 derryberry ln, cartwright, ok 74731, usa"
"BRYAN"," COLBERT"," 220 COLLINS STREET                 ","7/15/2006",-96.5050795,33.8514914,"220 collins st, colbert, ok 74733, usa"
"BRYAN"," DURANT"," 223 13TH N                        ","3/28/2001",-96.389686,33.9962159,"223 n 13th ave, durant, ok 74701, usa"
"BRYAN"," DURANT"," 1901 MISSISSIPPI G75              ","1/10/2002",-96.397954,33.989508,"1901 w mississippi st, durant, ok 74701, usa"
"BRYAN"," DURANT"," 1901 MISSISSIPPI H90              ","1/29/2002",-96.397954,33.989508,"1901 w mississippi st, durant, ok 74701, usa"
